id	net_time	start_time	end_time	op	wf_curr_app	userid	status	user_type	comments	appid	grID	internalfileid	clientid	log_id
9951	4.18000000	20230407124329	20230407124333	ClientsFunctions.asp --> Sub PrintFID	yyy	BANCACENTROQUILICI		E	yyy	rptGuaranteeRequest	GR000000295378		CL000000013571	LT000000009880
10820	4.18000000	20230411145644	20230411145648	ClientsFunctions.asp --> Function ShowListCommission	yyy	FRINALDI	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295434	9803FID	CL000000013545	LT000000010743
10485	4.17000000	20230411112453	20230411112458	ClientsFunctions.asp --> Function ShowListCommission	yyy	FRINALDI	GRISTDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295107	9736FID	CL000000013481	LT000000010410
6076	4.17000000	20230404154642	20230404154646	GuaranteeRequestDetail.asp --> CaricamentoPagina	#ERR	FFAILLI	Completa	I	yyy	GuaranteeRequest	GR000000189578	6186FID	CL000000009068	LT000000006035
8087	4.17000000	20230405114441	20230405114445	Caricamento Pagina	XXX	DCARANGELO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000008023
7603	4.17000000	20230405103541	20230405103545	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500A	DDESIMONE	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295266	9789FID	CL000000013542	LT000000007545
4373	4.17000000	20230403145834	20230403145838	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000004340
4148	4.16000000	20230403132550	20230403132554	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000004115
1170	4.16000000	20230330154501	20230330154505	Caricamento Pagina	XXX	MSCARINZI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000001161
6676	4.16000000	20230404165907	20230404165911	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500	ASERRA	GRLoanOfficer	I	yyy	GuaranteeRequest	GR000000295269	9795FID	CL000000013565	LT000000006625
5062	4.15000000	20230404081020	20230404081024	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0200	SDELGOBBO	GRPreverification	I	yyy	GuaranteeRequest	GR000000295226	9798FID	CL000000013566	LT000000005026
5413	4.15000000	20230404094958	20230404095002	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0500A	FRINALDI	GRISTVerification	I	yyy	GuaranteeRequest	GR000000295179	9788FID	CL000000013518	LT000000005376
8127	4.15000000	20230405114625	20230405114629	Caricamento Pagina	XXX	DCARANGELO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000008060
8882	4.15000000	20230406095933	20230406095937	Caricamento Pagina	XXX	FRINALDI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000008812
71	4.15000000	20230330084604	20230330084608	Caricamento Pagina	XXX	LFINI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000000071
4173	4.15000000	20230403134506	20230403134510	Caricamento Pagina	XXX	LFINI	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000004140
10650	4.15000000	20230411124610	20230411124614	ClientsFunctions.asp --> Function ShowListCommission	yyy	LCASA	GRSEGDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295431	9732FID	CL000000013476	LT000000010573
10472	4.14000000	20230411112318	20230411112323	ClientsFunctions.asp --> Function ShowListCommission	yyy	LTGEMMA	GRSEGDISBURSEMENTCONFIRMATION	I	yyy	GuaranteeRequest	GR000000295421	9713FID	CL000000013451	LT000000010397
9562	4.14000000	20230406164952	20230406164956	GuaranteeRequestDetail.asp --> ShowForm-Send	#WF0100	ALESERAFINI		E	yyy	GuaranteeRequest	GR000000294897		CL000000013541	LT000000009491
169	4.14000000	20230330093336	20230330093340	Caricamento Pagina	XXX	FCATANIA	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000000167
1927	4.14000000	20230331104742	20230331104746	Caricamento Pagina	XXX	SDELGOBBO	XXX	I	NULL	GuaranteeRequestStatusSearch	XXX	XXX	XXX	LT000000001910
6806	4.14000000	20230404171539	20230404171543	GuaranteeRequestDetail.asp --> Sub SendRecord	#WF0300	GVENCESLAI	GRVerification	I	yyy	GuaranteeRequest	GR000000295229	9798FID	CL000000013566	LT000000006755
